timestamp,rtt_ms_mean,rtt_ms_min,rtt_ms_max,count
2026-05-11T15:38:10.465190,1109.111,848.300,1393.210,9
2026-05-11T15:38:11.465190,1247.784,1107.000,1404.720,9
2026-05-11T15:38:12.465190,1079.309,984.020,1185.420,8
2026-05-11T15:38:13.465190,896.173,681.610,1098.620,10
2026-05-11T15:38:14.465190,935.920,654.260,1302.820,12
2026-05-11T15:38:15.465190,1021.823,627.820,1402.490,10
2026-05-11T15:38:16.465190,1010.987,563.970,1382.600,9
2026-05-11T15:38:17.465190,886.419,542.070,1258.100,12
2026-05-11T15:38:18.465190,862.082,521.900,1232.000,11
2026-05-11T15:38:19.465190,948.162,583.770,1267.120,11
2026-05-11T15:38:20.465190,907.135,484.610,1326.060,11
2026-05-11T15:38:21.465190,1029.831,403.940,1633.470,11
2026-05-11T15:38:22.465190,1186.654,407.470,2072.420,10
2026-05-11T15:38:23.465190,1281.421,410.680,2165.620,8
2026-05-11T15:38:24.465190,1114.589,488.500,1902.270,8
2026-05-11T15:38:25.465190,1011.063,409.830,1585.200,9
2026-05-11T15:38:26.465190,1076.563,635.700,1389.840,7
2026-05-11T15:38:27.465190,946.523,429.380,1454.290,12
2026-05-11T15:38:28.465190,967.829,360.920,1500.050,11
2026-05-11T15:38:29.465190,921.239,341.060,1507.790,10
2026-05-11T15:38:30.465190,907.333,423.660,1489.950,11
2026-05-11T15:38:31.465190,979.966,459.330,1479.100,10
2026-05-11T15:38:32.465190,881.691,478.650,1292.100,10
2026-05-11T15:38:33.465190,877.351,529.450,1262.750,12
2026-05-11T15:38:34.465190,1054.238,571.210,1522.290,11
2026-05-11T15:38:35.465190,1352.723,1064.960,1555.100,7
2026-05-11T15:38:36.465190,1127.925,982.710,1253.660,8
2026-05-11T15:38:37.465190,912.431,755.410,1063.560,10
2026-05-11T15:38:38.465190,884.288,731.110,1014.570,11
2026-05-11T15:38:39.465190,909.267,720.470,1085.850,12
2026-05-11T15:38:40.465190,984.021,775.030,1201.440,10
2026-05-11T15:38:41.465190,925.823,706.420,1195.420,6
